step,vehicle,speed,x,y,wait_time,edge
20,veh3,10.484120136243291,356.735010343139,341.004989656861,0.0,DtoJ
21,veh0,14.598490630132956,172.15461830212934,263.9355907922353,0.0,AtoJ
21,veh1,12.945894293893385,395.54534468976556,198.4,0.0,BtoJ
21,veh2,12.8567378888838,424.6153497148631,96.82046628648415,0.0,CtoJ
21,veh3,11.42753335996531,364.81568681976853,332.9243131802314,0.0,DtoJ
22,veh0,14.6676204682755,186.53699460453808,261.05899164720813,0.0,AtoJ
22,veh1,12.833376876019198,408.37872156578476,198.4,0.0,BtoJ
22,veh2,13.655808537034318,432.80883483708374,107.74511311611161,0.0,CtoJ
22,veh3,12.304675122490153,373.5166107797208,324.2233892202792,0.0,DtoJ
23,veh0,14.645875770338689,200.89804908252512,258.1866570507237,0.0,AtoJ
23,veh1,12.969526844272647,421.3482484100574,198.4,0.0,BtoJ
